Public IP Address,IP Location,Source Port,Destination Port,Protocol,Connection State,PID,Process Name,Process Path,AbuseIPDB Reputation Summary
"101.46.143.21","Ireland","49874","47873","TCPv4","CLOSE_WAIT","5264","avp.exe","","This IP was reported 2 times. Confidence of Abuse is 0%"
"162.159.142.9","United States of America","63687","20480","TCPv4","CLOSE_WAIT","15504","LockApp.exe","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","This IP was reported 34 times. Confidence of Abuse is 0%"
"172.211.123.248","Netherlands","54241","47873","TCPv4","ESTABLISHED","6040","svchost.exe","C:\WINDOWS\system32\svchost.exe","This IP was reported 705 times. Confidence of Abuse is 29%"
"172.211.123.248","Netherlands","56033","47873","TCPv4","ESTABLISHED","6040","svchost.exe","C:\WINDOWS\system32\svchost.exe","This IP was reported 705 times. Confidence of Abuse is 29%"
"178.255.155.172","Italy","56289","12823","TCPv4","ESTABLISHED","5940","TeamViewer_Service.exe","C:\Program Files\TeamViewer\TeamViewer_Service.exe","This IP was reported 2 times. Confidence of Abuse is 0%"
"185.201.1.205","Germany","62919","47873","TCPv4","ESTABLISHED","5280","ksde.exe","C:\Program Files (x86)\Kaspersky Lab\Kaspersky VPN 5.22\ksde.exe","This IP was not found in our database"
"185.201.2.226","Germany","5323","47873","TCPv4","ESTABLISHED","5264","avp.exe","","This IP was not found in our database"
"20.79.107.7","Germany","26864","47873","TCPv4","CLOSE_WAIT","2504","TeamViewer.exe","C:\Program Files\TeamViewer\TeamViewer.exe","This IP was reported 1 times. Confidence of Abuse is 0%"
"23.201.43.236","Poland","63431","47873","TCPv4","CLOSE_WAIT","15504","LockApp.exe","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","This IP was not found in our database"
"51.105.69.4","United Kingdom of Great Britain and Northern Ireland","456","45858","TCPv4","ESTABLISHED","9140","SupportAssistAgent.exe","C:\Program Files\Dell\SupportAssistAgent\bin\SupportAssistAgent.exe","This IP was reported 10 times. Confidence of Abuse is 0%"
"81.19.104.212","Germany","50130","47873","TCPv4","TIME_WAIT","0","Idle.exe","","This IP was not found in our database"
"81.19.104.212","Germany","50642","47873","TCPv4","TIME_WAIT","0","Idle.exe","","This IP was not found in our database"
"81.19.104.214","Germany","39627","47873","TCPv4","CLOSE_WAIT","5280","ksde.exe","C:\Program Files (x86)\Kaspersky Lab\Kaspersky VPN 5.22\ksde.exe","This IP was not found in our database"
"104.18.19.62","United States of America","57810","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was not found in our database"
"104.26.13.38","United States of America","50898","47873","TCPv4","ESTABLISHED","18640","ActiveEndpointHash&IPInspector.exe","C:\Users\mikew\Downloads\ActiveEndpointInspectorSuite\ActiveEndpointHash&IPInspector.exe","This IP was reported 26,807 times. Confidence of Abuse is 0%"
"142.250.109.132","Poland","55506","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 5 times. Confidence of Abuse is 4%"
"142.250.130.94","Poland","54738","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 46 times. Confidence of Abuse is 13%"
"142.251.98.94","Poland","54994","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 49 times. Confidence of Abuse is 13%"
"142.251.98.94","Poland","57554","47873","TCPv4","TIME_WAIT","0","Idle.exe","","This IP was reported 49 times. Confidence of Abuse is 13%"
"199.232.17.91","Austria","52434","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was not found in our database"
"199.232.17.91","Austria","53714","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was not found in our database"
"199.232.17.91","Austria","56274","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was not found in our database"
"199.232.17.91","Austria","57298","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was not found in our database"
"34.107.221.82","United States of America","52690","20480","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 37 times. Confidence of Abuse is 28%"
"34.107.221.82","United States of America","57042","20480","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 37 times. Confidence of Abuse is 28%"
"34.107.243.93","United States of America","55762","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 574 times. Confidence of Abuse is 57%"
"34.107.243.93","United States of America","56018","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 574 times. Confidence of Abuse is 57%"
"34.120.208.123","United States of America","56786","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 205 times. Confidence of Abuse is 41%"
"34.160.144.191","United States of America","53458","47873","TCPv4","ESTABLISHED","16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","This IP was reported 173 times. Confidence of Abuse is 19%"
"81.19.104.212","Germany","51154","47873","TCPv4","TIME_WAIT","0","Idle.exe","","This IP was not found in our database"
